MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135,target
0.8434,0.71365,1.6183,0.55764,1.17104,2.11969,1.24341,healthy
0.84315,0.71365,1.6193,0.55852,1.17054,2.12131,1.24679,healthy
0.8419,0.71302,1.61917,0.55914,1.17154,2.12094,1.24541,healthy
0.8434,0.71352,1.61805,0.55927,1.17154,2.11944,1.24641,healthy
0.84153,0.71302,1.61692,0.55902,1.17116,2.11906,1.24566,healthy
0.84215,0.7129,1.61842,0.55852,1.16829,2.11944,1.24341,healthy
0.8414,0.71377,1.6188,0.55814,1.16941,2.11906,1.24579,healthy
0.84028,0.71315,1.61842,0.55852,1.17029,2.11531,1.24579,healthy-test
0.8409,0.7114,1.61917,0.55764,1.16954,2.12031,1.24591,healthy
0.8379,0.7114,1.6168,0.55777,1.17091,2.11944,1.24616,healthy
0.8404,0.7134,1.61742,0.55777,1.16841,2.11894,1.24579,healthy
0.8399,0.71202,1.61192,0.55802,1.16879,2.11969,1.24541,healthy
0.8399,0.71265,1.61742,0.55764,1.16754,2.11694,1.24529,healthy
0.8394,0.71215,1.61655,0.55814,1.16991,2.11281,1.24441,healthy
0.83878,0.71102,1.61055,0.55777,1.16941,2.11869,1.24516,healthy
0.83903,0.71227,1.61517,0.55927,1.17079,2.11894,1.24516,healthy
0.83853,0.71252,1.61692,0.55752,1.17104,2.11844,1.24391,healthy
0.83665,0.70977,1.61342,0.55789,1.16666,2.10994,1.24191,healthy
0.83753,0.71077,1.61467,0.55889,1.16966,2.11556,1.24304,healthy
0.83815,0.71152,1.6163,0.55864,1.16954,2.11106,1.24216,healthy
0.83815,0.71202,1.61542,0.55727,1.16929,2.11731,1.24554,healthy
0.83753,0.71215,1.6163,0.55777,1.17029,2.11844,1.24429,healthy
0.8389,0.71215,1.61642,0.55739,1.17104,2.12031,1.24591,healthy
0.8384,0.71215,1.61505,0.55877,1.17204,2.11919,1.24466,healthy
0.83815,0.7124,1.61617,0.55827,1.16866,2.12231,1.23866,healthy
0.86015,0.7264,1.61567,0.55814,1.14616,2.16069,1.23804,azotemic
0.86653,0.72852,1.61905,0.55802,1.14628,2.16257,1.23879,azotemic
0.8699,0.7294,1.62055,0.55827,1.15129,2.16269,1.24016,azotemic
0.8729,0.7294,1.62142,0.55839,1.15566,2.16319,1.23991,azotemic
0.87653,0.73227,1.62405,0.55777,1.15779,2.16769,1.24129,azotemic
0.87853,0.7334,1.62442,0.55727,1.16054,2.16719,1.24041,azotemic
0.88115,0.7359,1.62542,0.55764,1.16079,2.16332,1.24154,azotemic
0.87165,0.73565,1.62867,0.55752,1.16666,2.17194,1.24329,azotemic
0.88715,0.73827,1.63092,0.55814,1.16991,2.17194,1.24079,azotemic
0.89078,0.74015,1.63655,0.55689,1.17404,2.17457,1.24591,azotemic
0.89403,0.73552,1.6348,0.55764,1.17429,2.17069,1.24516,azotemic
0.89603,0.7434,1.6393,0.55789,1.17329,2.17832,1.24591,azotemic
0.8964,0.74352,1.64155,0.55752,1.17916,2.18082,1.24691,azotemic
0.89515,0.7444,1.64168,0.55852,1.18016,2.18044,1.24291,azotemic
0.89478,0.74465,1.64268,0.55852,1.17416,2.16519,1.24679,azotemic
0.89428,0.74452,1.64243,0.55727,1.18291,2.17982,1.24691,azotemic
0.8949,0.74452,1.64518,0.55764,1.17904,2.17882,1.24716,azotemic-test
0.8944,0.74415,1.6443,0.55714,1.18454,2.18032,1.24616,azotemic
0.8934,0.74477,1.64455,0.55827,1.18566,2.18082,1.24791,azotemic
0.8919,0.74502,1.64718,0.55702,1.18504,2.18082,1.24741,azotemic
0.89253,0.7454,1.64268,0.55814,1.18454,2.18132,1.24629,azotemic
0.8899,0.74215,1.64355,0.55752,1.18579,2.18332,1.24766,azotemic
0.89228,0.74402,1.64805,0.55789,1.18691,2.18294,1.24741,azotemic
0.89278,0.74477,1.64805,0.55827,1.18654,2.18069,1.24816,azotemic
0.8939,0.7444,1.65018,0.55727,1.18654,2.18257,1.24804,azotemic
0.89415,0.74427,1.64943,0.55814,1.18804,2.18219,1.24779,azotemic
0.89265,0.74327,1.64855,0.55814,1.18829,2.17969,1.24666,azotemic
0.89378,0.74152,1.65068,0.55852,1.18779,2.18194,1.24741,azotemic
0.89328,0.74352,1.65043,0.55739,1.18866,2.18057,1.24654,azotemic
0.89178,0.74215,1.64568,0.55727,1.18904,2.18269,1.24716,azotemic
0.89253,0.74165,1.65043,0.55752,1.18879,2.17819,1.24591,healthy-test
0.89315,0.7409,1.64918,0.55677,1.19054,2.17969,1.24566,azotemic
0.89303,0.74165,1.6518,0.55727,1.18841,2.17732,1.24616,azotemic
0.89253,0.7414,1.64968,0.55777,1.18816,2.17832,1.24491,azotemic
0.8899,0.74027,1.65193,0.55714,1.18754,2.17844,1.24566,azotemic
0.89115,0.73977,1.65018,0.55764,1.18904,2.17844,1.24591,azotemic
0.88915,0.73965,1.64843,0.55752,1.18829,2.17657,1.24429,azotemic
0.88865,0.73915,1.65055,0.55702,1.18541,2.17894,1.24466,azotemic
0.88815,0.73927,1.6508,0.55789,1.18716,2.17557,1.24379,azotemic
0.88765,0.73802,1.65068,0.55739,1.18716,2.17682,1.24416,azotemic
0.88678,0.73827,1.6498,0.55789,1.18791,2.17569,1.24404,azotemic
0.8859,0.73765,1.65043,0.55739,1.18716,2.17532,1.24416,azotemic
