MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135,target
0.7804,0.8314,1.27104,0.55102,0.7209,1.96481,1.00491,healthy
0.7794,0.82928,1.26879,0.55089,0.7204,1.96894,1.00478,healthy
0.78165,0.83003,1.27041,0.55064,0.72002,1.96631,1.00428,healthy
0.77965,0.8294,1.26904,0.55089,0.72015,1.96506,1.00441,healthy
0.78127,0.82878,1.26891,0.55052,0.71952,1.96356,1.00566,healthy
0.78102,0.82865,1.26829,0.55077,0.72027,1.96881,1.00441,healthy
0.7834,0.83053,1.27116,0.55052,0.71852,1.96994,1.00416,healthy
0.78215,0.83003,1.26904,0.55077,0.72015,1.97094,1.00478,healthy
0.78315,0.8294,1.27204,0.55027,0.7184,1.97044,1.00803,healthy
0.78427,0.83065,1.27241,0.55027,0.71902,1.97106,1.00803,healthy
0.7834,0.8304,1.27266,0.55052,0.72065,1.97056,1.00566,healthy
0.78577,0.8289,1.27066,0.55039,0.71865,1.97056,1.00741,healthy
0.7834,0.82903,1.27104,0.55089,0.72027,1.97131,1.00728,healthy
0.78665,0.83003,1.27216,0.55089,0.71852,1.97056,1.00753,healthy
0.78702,0.8284,1.27241,0.55039,0.7184,1.97081,1.00516,healthy
0.7859,0.8294,1.27004,0.55089,0.72002,1.97019,1.00541,healthy
0.78765,0.82753,1.26941,0.55089,0.71827,1.97069,1.00778,healthy
0.7854,0.8294,1.27241,0.55127,0.71977,1.96781,1.00516,healthy
0.78815,0.82728,1.26916,0.55039,0.71827,1.97069,1.00766,healthy
0.78977,0.83015,1.27341,0.55077,0.71902,1.96806,1.00841,healthy
0.7879,0.82828,1.27141,0.55077,0.72052,1.97106,1.00828,healthy
0.79052,0.8259,1.27341,0.55014,0.71352,1.90993,1.00753,healthy
0.78877,0.82915,1.27304,0.55102,0.71965,1.96493,1.00691,healthy
0.7904,0.8269,1.27304,0.55077,0.71827,1.96744,1.00816,healthy
0.79152,0.82478,1.27279,0.55089,0.71802,1.96631,1.00753,healthy
0.79027,0.82678,1.26966,0.55102,0.71827,1.97081,1.00816,healthy
0.79265,0.82765,1.27191,0.55064,0.71727,1.97019,1.00766,healthy
0.78965,0.82753,1.27091,0.55014,0.7194,1.97094,1.00791,healthy
0.79352,0.82865,1.27216,0.55064,0.71802,1.96531,1.00766,healthy
0.79377,0.82803,1.27279,0.55052,0.7179,1.96619,1.00541,healthy
0.79327,0.82915,1.27366,0.55027,0.72052,1.97156,1.00766,healthy
0.7954,0.82853,1.27341,0.55014,0.71852,1.97094,1.00703,healthy
0.7954,0.8279,1.27216,0.55014,0.71865,1.97019,1.00578,healthy
0.79477,0.82828,1.27066,0.55089,0.7204,1.96944,1.00641,healthy
0.7944,0.82653,1.26991,0.55077,0.7204,1.97131,1.00628,healthy
0.79627,0.82765,1.27354,0.55039,0.72065,1.96681,1.00553,healthy
0.7959,0.8264,1.27154,0.55064,0.72102,1.96931,1.00603,healthy
0.79852,0.8264,1.27166,0.55002,0.71965,1.96669,1.00841,healthy
0.79715,0.82678,1.27229,0.55064,0.72165,1.96731,1.00703,healthy
